uid,reg_date,device,gender,country,age
41635199,42576.70833,iOS,F,BRA,22
13052437,42758.66667,and,M,TUR,15
76307974,42861.70833,and,F,TUR,21
64522849,42256.70833,and,M,BRA,25
73145820,43122.66667,and,F,DEU,26
79004184,43146.66667,iOS,F,DEU,21
30120100,43092.66667,and,F,DEU,31
65930247,43151.66667,iOS,F,USA,17
74650949,42822.70833,iOS,F,BRA,27
85383645,42977.70833,iOS,M,DEU,33
77818106,42934.70833,iOS,M,USA,16
92922505,43146.66667,and,M,TUR,16
36855383,43031.70833,and,F,USA,18
15917829,43065.66667,and,F,USA,36
12235632,42867.70833,and,M,BRA,17
19663729,42924.70833,iOS,M,DEU,19
22599212,42177.70833,iOS,M,DEU,42
67728035,43158.66667,iOS,M,CAN,29
17703699,42857.70833,and,M,USA,49
89061574,43148.66667,iOS,F,FRA,22
46616311,42856.70833,and,F,USA,17
37708111,42942.70833,and,M,USA,16
58745144,42968.70833,and,M,USA,31
89312230,42632.70833,and,M,DEU,21
41276426,43083.66667,and,F,USA,22
64982850,43112.66667,iOS,F,USA,29
91510205,43137.66667,and,F,USA,23
31291327,43129.66667,and,F,USA,15
23495692,42095.70833,and,M,DEU,19
37983963,43012.70833,iOS,M,BRA,17
61104056,43176.70833,and,M,USA,18
80423456,42608.70833,and,M,USA,18
21367178,43042.70833,and,M,USA,18
15446544,42821.70833,and,M,TUR,16
34348321,42822.70833,iOS,M,BRA,32
27250031,43074.66667,and,M,BRA,41
82911971,43104.66667,iOS,M,BRA,20
28043369,43016.70833,and,M,TUR,28
23240242,42781.66667,iOS,F,USA,24
21255196,42843.70833,and,M,USA,18
86951624,43105.66667,iOS,M,FRA,16
82087794,43163.66667,and,F,FRA,15
45539720,42806.70833,iOS,M,USA,19
74082748,42720.66667,and,M,USA,24
84056042,42702.66667,and,F,DEU,16
75610381,43175.70833,iOS,M,DEU,44
46473919,42502.70833,and,M,USA,16
88405114,42758.66667,iOS,M,TUR,15
86575740,42653.70833,and,M,USA,29
66903115,42938.70833,iOS,F,USA,15
56367460,42997.70833,iOS,F,USA,45
70285355,43133.66667,and,F,USA,27
82028666,43055.66667,and,F,TUR,21
71865028,42768.66667,and,M,DEU,62
81301813,43094.66667,and,M,USA,20
51284237,42189.70833,and,M,USA,36
86850383,42719.66667,and,M,USA,30
16558533,42819.70833,and,F,TUR,18
49228019,43168.66667,iOS,F,BRA,25
89674483,42832.70833,and,F,DEU,22
88961531,42964.70833,and,M,CAN,23
85455628,43123.66667,iOS,M,USA,48
59293403,43088.66667,and,F,USA,16
88322199,42554.70833,and,F,USA,21
48305799,42965.70833,and,F,USA,27
82906474,42926.70833,iOS,M,BRA,18
24730305,43163.66667,and,M,CAN,16
80640361,43129.66667,and,M,USA,27
89804397,42147.70833,and,F,DEU,26
84866161,43092.66667,iOS,F,BRA,17
75572676,43173.70833,and,F,USA,25
19621049,42100.70833,and,F,BRA,35
98826375,42999.70833,and,F,BRA,19
80808121,42294.70833,iOS,F,DEU,23
18371498,43072.66667,iOS,M,USA,22
29810365,43131.66667,iOS,F,CAN,22
14643990,42917.70833,and,F,CAN,17
76238791,42879.70833,iOS,M,BRA,23
63554935,43163.66667,and,M,BRA,16
12010899,42914.70833,and,M,DEU,15
86820480,43114.66667,and,M,DEU,23
68314120,42989.70833,and,F,FRA,22
76719622,43122.66667,and,M,TUR,17
43552451,42989.70833,and,M,DEU,15
43440831,43114.66667,and,F,BRA,22
99980066,42188.70833,iOS,M,TUR,24
20275625,42998.70833,and,F,USA,25
49191638,42979.70833,and,F,CAN,22
46372689,43145.66667,and,M,USA,35
14127324,42917.70833,iOS,F,USA,18
57104126,42962.70833,and,F,FRA,15
73900921,42846.70833,iOS,M,TUR,18
78368042,42639.70833,and,M,BRA,16
53419895,43174.70833,and,M,TUR,17
57859524,42983.70833,iOS,M,TUR,27
44562562,42700.66667,and,F,USA,33
82748689,42512.70833,and,M,CAN,28
42232649,42963.70833,iOS,M,BRA,15
73337819,42686.66667,iOS,M,BRA,24
71939216,43125.66667,iOS,F,USA,18
55677620,42564.70833,and,F,BRA,32
38271032,42833.70833,and,M,USA,17
79279526,42893.70833,iOS,F,USA,17
44650512,42789.66667,iOS,M,USA,17
96667821,43172.70833,and,M,DEU,20
58656099,42562.70833,iOS,F,USA,29
44410606,43092.66667,iOS,F,USA,26
94090865,42411.66667,and,M,TUR,16
46934052,42548.70833,iOS,M,USA,22
32534439,43002.70833,iOS,F,BRA,18
57406482,42828.70833,and,F,USA,17
68017623,42754.66667,iOS,M,USA,27
90876457,43168.66667,iOS,F,BRA,22
39721983,42928.70833,iOS,M,USA,18
68905032,43067.66667,and,M,TUR,23
99201953,43171.70833,and,M,BRA,32
87378125,42655.70833,and,F,USA,15
55834439,43126.66667,and,F,BRA,21
88120639,42716.66667,and,M,USA,26
49725720,43000.70833,and,F,TUR,29
61015529,42867.70833,iOS,M,TUR,22
11153046,42197.70833,iOS,F,USA,23
26979863,42757.66667,iOS,M,USA,19
12001630,43167.66667,and,M,TUR,20
43380887,43090.66667,and,F,CAN,27
99472712,42907.70833,and,F,BRA,20
18473785,43022.70833,iOS,M,BRA,18
99309406,42957.70833,and,F,USA,39
94633014,42774.66667,iOS,F,TUR,31
81870014,42119.70833,and,M,BRA,18
86042841,42439.66667,iOS,M,USA,17
65212296,42824.70833,and,F,TUR,32
55470182,42721.66667,and,F,USA,23
75763997,42532.70833,and,F,BRA,16
57580319,42554.70833,iOS,F,USA,22
61696341,42998.70833,iOS,M,USA,19
27871636,42259.70833,and,F,USA,46
57311167,43136.66667,and,F,USA,15
58068240,42433.66667,and,F,USA,22
92125164,43143.66667,iOS,F,USA,19
72992651,43105.66667,iOS,F,DEU,18
69489891,42402.66667,and,F,BRA,19
44074776,43165.66667,iOS,F,BRA,15
73639526,42922.70833,iOS,F,USA,31
55333636,43079.66667,and,F,USA,15
18225818,43054.66667,and,F,FRA,17
67144708,43031.70833,and,F,USA,29
87801530,42888.70833,iOS,F,BRA,41
19142545,42922.70833,iOS,F,DEU,20
76557144,43107.66667,and,F,USA,22
64075836,42925.70833,and,M,FRA,20
78334743,42690.66667,and,M,USA,26
25473017,42495.70833,iOS,F,USA,16
37502151,42879.70833,iOS,F,BRA,16
34956713,43011.70833,iOS,M,TUR,19
44437453,42194.70833,iOS,F,TUR,22
15034712,43075.66667,iOS,M,TUR,16
57785029,42673.70833,iOS,M,USA,27
58364699,42892.70833,iOS,M,DEU,28
71937671,42456.70833,iOS,F,DEU,15
17739937,43130.66667,and,M,BRA,16
58418749,43057.66667,iOS,F,USA,21
91553462,43111.66667,and,M,TUR,16
83693497,42782.66667,iOS,M,USA,18
26206386,42496.70833,and,F,FRA,28
12295769,42740.66667,and,F,DEU,30
46478586,42859.70833,and,M,TUR,30
67716800,43086.66667,iOS,M,BRA,19
54810234,42808.70833,and,F,BRA,16
65031962,42939.70833,and,M,USA,23
21964824,43162.66667,iOS,F,TUR,15
93004711,42846.70833,and,M,DEU,24
14167613,43157.66667,iOS,M,CAN,37
30910649,43069.66667,and,F,TUR,15
32283870,42603.70833,iOS,F,TUR,25
18831596,43114.66667,iOS,F,BRA,33
56742706,42613.70833,and,F,USA,17
92427121,42974.70833,and,M,BRA,25
16832651,43145.66667,iOS,M,USA,19
57330148,42212.70833,iOS,M,BRA,30
58700485,42833.70833,and,M,FRA,16
24069510,43095.66667,and,F,TUR,21
58614173,43057.66667,and,M,DEU,30
50585772,42239.70833,and,F,USA,38
20335164,42566.70833,iOS,F,BRA,19
41047760,42250.70833,iOS,F,CAN,19
63182097,42827.70833,iOS,F,BRA,17
87525475,42901.70833,iOS,M,DEU,17
67217881,42328.66667,iOS,M,USA,24
75557946,42906.70833,and,F,USA,15
95129508,42357.66667,and,F,BRA,28
92983490,43162.66667,and,F,DEU,20
58904519,43151.66667,iOS,F,USA,22
63245432,42707.66667,and,F,FRA,20
55229822,43115.66667,and,F,BRA,27
93535360,42759.66667,and,M,USA,25
46497663,42968.70833,iOS,F,BRA,17
99916096,43004.70833,and,F,USA,18
99888805,42705.66667,iOS,M,USA,15
56796198,43097.66667,and,F,TUR,54
95674089,42510.70833,and,M,BRA,34
96840524,42800.66667,and,M,DEU,36
96282239,42548.70833,iOS,M,USA,34
68791188,43021.70833,and,M,USA,27
46187879,43132.66667,iOS,M,USA,21
13537603,42538.70833,iOS,F,BRA,26
61838163,42864.70833,and,M,CAN,31
87242107,43062.66667,iOS,M,DEU,17
30962180,43131.66667,and,F,TUR,25
21633394,42839.70833,iOS,F,DEU,26
69804359,43098.66667,iOS,F,USA,25
36555876,42844.70833,and,F,BRA,31
14464531,42993.70833,iOS,F,BRA,16
25435628,42758.66667,and,F,BRA,30
94460667,43112.66667,and,F,USA,22
70314912,43150.66667,iOS,F,BRA,22
43300676,42381.66667,and,F,TUR,18
28973284,42934.70833,iOS,F,FRA,15
85226112,43125.66667,and,M,USA,16
87948327,42531.70833,iOS,F,TUR,15
82032467,43153.66667,and,F,FRA,17
70815497,43150.66667,iOS,M,BRA,18
85953695,42871.70833,and,F,FRA,24
16868908,42956.70833,and,M,FRA,27
89180970,42398.66667,iOS,M,USA,33
29160614,43013.70833,and,F,DEU,66
61685054,43114.66667,and,M,BRA,20
81384864,43170.70833,and,M,USA,15
19133823,42951.70833,iOS,M,USA,27
78429993,42993.70833,and,M,CAN,26
27462048,42030.66667,iOS,M,USA,52
40474662,43092.66667,and,M,BRA,17
51692532,43148.66667,iOS,F,DEU,16
36282124,42795.66667,and,F,USA,16
19238249,42970.70833,iOS,F,USA,19
93321090,43069.66667,iOS,M,USA,22
16376777,43128.66667,and,F,USA,19
41196200,42736.66667,and,M,BRA,30
54143576,42427.66667,and,M,BRA,16
55999122,43045.66667,iOS,F,USA,28
51002072,43170.70833,iOS,F,USA,20
63984210,43151.66667,iOS,F,TUR,17
34478937,43175.70833,iOS,F,DEU,18
94231640,42674.70833,and,F,FRA,23
75633715,42578.70833,and,F,DEU,15
92733510,42239.70833,and,M,BRA,15
61437147,43080.66667,and,M,USA,19
13038192,42970.70833,iOS,M,BRA,16
15753947,42818.70833,and,M,BRA,44
75808644,43107.66667,and,M,BRA,19
44250519,42241.70833,iOS,F,BRA,19
29647008,43176.70833,and,F,USA,17
79280021,43155.66667,and,M,TUR,21
18300935,43131.66667,iOS,F,FRA,17
22995892,42535.70833,and,F,TUR,23
18449695,43175.70833,and,F,BRA,26
61563519,42719.66667,and,M,TUR,15
81403954,43156.66667,and,F,USA,19
77557879,42752.66667,and,F,USA,34
70732915,43122.66667,iOS,F,BRA,35
87007456,43129.66667,iOS,F,CAN,26
83628076,42944.70833,and,M,DEU,38
84424030,43167.66667,and,F,USA,34
25194914,42934.70833,and,M,BRA,19
79721979,43145.66667,and,F,TUR,16
85470265,42821.70833,and,M,DEU,21
37679198,43170.70833,and,M,BRA,25
45105533,42986.70833,and,M,USA,18
83807431,43103.66667,iOS,M,USA,55
70564535,43074.66667,and,F,DEU,21
11376870,42935.70833,iOS,M,DEU,17
19569768,43062.66667,and,F,USA,21
62950240,42869.70833,and,M,USA,16
26897417,42843.70833,and,F,BRA,24
81386640,43172.70833,iOS,M,USA,31
89672821,43129.66667,and,F,USA,16
95718406,42679.70833,and,F,USA,19
90922815,42607.70833,and,F,CAN,18
57905765,43106.66667,iOS,M,BRA,15
14948948,42599.70833,and,M,USA,25
43777639,43161.66667,iOS,F,TUR,19
28714986,42839.70833,and,F,BRA,24
91697354,43004.70833,and,F,USA,24
72175678,43031.70833,iOS,M,USA,16
81686490,42828.70833,iOS,F,TUR,24
40439397,43068.66667,iOS,F,USA,26
24466682,42722.66667,and,M,BRA,16
53168498,43154.66667,iOS,F,USA,21
57427158,43083.66667,and,F,USA,21
31446151,42738.66667,iOS,M,USA,16
93381363,43162.66667,and,M,USA,20
17438616,42901.70833,and,M,USA,23
42220050,42957.70833,iOS,F,BRA,20
40116023,43064.66667,and,F,BRA,18
46514397,42860.70833,iOS,F,USA,40
52460347,43011.70833,iOS,F,USA,18
49042525,43023.70833,and,F,TUR,39
37044247,42906.70833,and,M,USA,15
25999385,42964.70833,and,F,TUR,31
47130379,43169.66667,iOS,F,USA,46
39086115,42796.66667,iOS,M,TUR,19
36261477,43167.66667,and,M,USA,23
68916176,42788.66667,and,F,BRA,20
36029568,43001.70833,and,F,CAN,37
15675030,43127.66667,and,M,DEU,33
88549304,42819.70833,iOS,F,BRA,17
80672327,43145.66667,and,F,FRA,22
17224333,42950.70833,iOS,F,USA,18
49275721,43170.70833,iOS,F,USA,29
25473152,43005.70833,and,M,TUR,37
63755202,42695.66667,iOS,M,USA,33
93979502,42694.66667,iOS,M,BRA,23
92074827,43150.66667,and,M,TUR,17
21201773,43169.66667,and,F,USA,32
74871490,42945.70833,and,F,DEU,20
54419979,43169.66667,iOS,F,DEU,20
79773920,43014.70833,iOS,F,USA,24
15988689,42411.66667,and,F,BRA,19
88849531,42876.70833,and,F,DEU,35
70745546,42587.70833,iOS,F,DEU,23
20031988,42715.66667,and,F,BRA,27
94637697,42722.66667,iOS,M,BRA,29
38348062,43135.66667,iOS,F,USA,28
85488149,42581.70833,and,F,USA,16
21758353,43020.70833,and,M,TUR,20
25277307,43055.66667,and,F,USA,26
25841981,42684.66667,and,M,USA,15
21475021,42908.70833,and,F,DEU,28
20913404,43058.66667,and,M,TUR,25
89676941,42528.70833,and,F,USA,21
38509633,42934.70833,and,F,BRA,29
95178192,43168.66667,and,M,BRA,24
29729462,42925.70833,and,M,BRA,16
42121001,42594.70833,and,F,USA,24
82621264,42804.66667,and,M,TUR,22
98928302,42176.70833,and,F,TUR,18
38845453,42991.70833,iOS,F,DEU,18
31251547,42724.66667,iOS,M,USA,53
36096051,43022.70833,and,M,CAN,21
88102362,43144.66667,and,F,USA,21
11756777,42866.70833,iOS,M,USA,18
48151007,42854.70833,and,F,USA,15
59545136,43029.70833,and,M,BRA,16
58011203,42528.70833,iOS,M,TUR,33
75448559,43022.70833,and,M,CAN,21
43346800,43032.70833,and,F,USA,17
90689254,43162.66667,and,F,USA,23
50137793,42784.66667,iOS,F,USA,15
63799735,42868.70833,and,F,USA,31
62460648,42949.70833,iOS,M,FRA,15
79382095,43126.66667,and,F,USA,17
90922648,43072.66667,and,M,USA,39
11274144,42825.70833,and,M,CAN,19
68346196,42746.66667,and,F,USA,27
19265199,43145.66667,and,F,USA,30
59225987,43146.66667,and,F,FRA,18
57255631,43135.66667,and,M,CAN,16
92892805,42942.70833,and,M,BRA,15
33561696,42828.70833,iOS,M,BRA,38
93934496,42329.66667,iOS,F,FRA,42
46565142,42699.66667,iOS,F,USA,17
25628531,42759.66667,iOS,F,USA,18
99265353,42524.70833,iOS,F,BRA,26
59072594,43033.70833,iOS,F,USA,25
40718027,43110.66667,iOS,F,BRA,22
84511047,43043.70833,iOS,F,BRA,17
98015368,42678.70833,iOS,M,BRA,24
70901385,43053.66667,iOS,M,USA,29
30871934,42824.70833,and,F,DEU,34
25107539,42288.70833,iOS,M,USA,16
27207518,42351.66667,and,F,BRA,23
45935274,42771.66667,and,M,USA,51
73471600,43173.70833,and,F,USA,25
44953303,43044.66667,iOS,M,TUR,15
24373914,42761.66667,and,M,USA,32
46075649,42985.70833,and,F,TUR,16
71160014,42730.66667,iOS,F,USA,25
35783429,43138.66667,and,M,USA,17
56109907,43008.70833,iOS,M,USA,20
74479870,42482.70833,and,F,BRA,25
95399683,42531.70833,and,M,TUR,26
84868195,43162.66667,and,F,USA,27
23119210,42739.66667,iOS,M,BRA,32
95406503,42424.66667,iOS,M,BRA,29
34830224,43058.66667,and,F,DEU,26
96912811,42553.70833,iOS,F,TUR,26
21794944,43003.70833,iOS,F,USA,22
83202499,43027.70833,and,M,USA,19
41644485,42991.70833,and,M,USA,21
22917732,42935.70833,and,M,BRA,15
89104187,43125.66667,iOS,M,USA,19
61277540,43165.66667,and,M,DEU,17
89192357,42741.66667,iOS,F,DEU,15
77842663,43176.70833,and,F,BRA,16
28376091,43123.66667,iOS,F,BRA,17
92286561,43052.66667,iOS,F,BRA,16
56687859,42821.70833,iOS,F,FRA,28
12642737,43145.66667,iOS,M,USA,20
28239011,42896.70833,and,M,BRA,42
25417197,42990.70833,and,M,CAN,20
36405215,42969.70833,and,F,DEU,25
64466999,43137.66667,and,F,USA,15
53674223,43128.66667,and,M,TUR,28
67158480,42872.70833,iOS,F,USA,25
66308381,42868.70833,and,F,BRA,20
36104017,42235.70833,and,F,USA,23
81781183,42891.70833,and,M,BRA,31
69237628,42519.70833,iOS,F,FRA,16
14283395,42249.70833,and,M,DEU,29
42233261,42909.70833,and,F,DEU,61
89444899,43172.70833,and,F,USA,26
73660053,42978.70833,iOS,F,CAN,19
52476184,43083.66667,iOS,F,BRA,19
93326059,42707.66667,and,M,USA,41
44913299,42965.70833,and,F,FRA,21
71241847,42305.70833,iOS,F,DEU,15
83267844,42442.70833,and,F,USA,18
12237480,43173.70833,iOS,M,USA,16
84397857,43126.66667,and,F,USA,17
25477677,43174.70833,iOS,M,USA,19
83529959,43125.66667,and,M,USA,19
98875294,43049.66667,iOS,F,FRA,16
99934344,43091.66667,and,F,BRA,28
40260401,42943.70833,iOS,M,FRA,17
72557992,42496.70833,and,M,TUR,49
83957693,43103.66667,and,F,TUR,30
66527522,43017.70833,and,F,BRA,19
99221148,42980.70833,and,F,USA,18
90487236,43151.66667,and,F,USA,23
86556330,43162.66667,and,F,USA,28
77910519,42936.70833,and,F,BRA,29
86985042,42856.70833,and,M,USA,34
77005791,43161.66667,and,F,USA,22
90181049,43160.66667,and,F,USA,22
63742217,43115.66667,iOS,F,FRA,17
68844904,42663.70833,and,F,USA,54
24140526,42893.70833,and,F,USA,18
31379921,42650.70833,iOS,F,USA,34
77425668,43165.66667,and,F,USA,32
31300075,42698.66667,and,M,BRA,29
31545368,42567.70833,and,F,BRA,19
15108185,42890.70833,iOS,M,DEU,28
95585491,42957.70833,iOS,F,TUR,17
62277131,42760.66667,and,F,USA,22
62097636,43166.66667,and,F,CAN,23
90099924,43077.66667,iOS,F,USA,17
28718244,42498.70833,iOS,M,FRA,24
18089649,42722.66667,and,F,USA,42
38275170,42790.66667,iOS,F,USA,24
30580782,42657.70833,and,F,BRA,26
93088362,42750.66667,iOS,F,DEU,20
29689616,43132.66667,and,M,DEU,18
13516426,43010.70833,iOS,F,TUR,19
92099063,43176.70833,and,M,TUR,39
34286167,42494.70833,iOS,F,FRA,24
99382112,43139.66667,and,F,BRA,25
72833980,43169.66667,and,F,BRA,15
50989849,42792.66667,and,M,USA,17
31823371,42514.70833,iOS,F,USA,19
59186012,43086.66667,iOS,F,BRA,17
78092336,42143.70833,and,F,BRA,16
32128829,42592.70833,and,F,BRA,31
45451874,43103.66667,and,F,CAN,46
97558109,43099.66667,and,F,USA,15
22217113,43112.66667,iOS,F,FRA,24
41045336,43024.70833,and,M,TUR,18
79595704,43092.66667,iOS,M,USA,18
77364889,42794.66667,iOS,M,USA,25
20349424,42851.70833,and,M,TUR,19
13005494,42267.70833,iOS,M,CAN,22
27459699,42330.66667,iOS,F,USA,39
74106810,43147.66667,iOS,M,TUR,26
81366794,42603.70833,and,F,USA,39
71322177,42469.70833,iOS,F,TUR,33
73451910,43118.66667,and,F,USA,39
29172968,42763.66667,and,F,BRA,30
13858108,42495.70833,and,F,TUR,17
44486603,42764.66667,and,F,CAN,22
49634104,43156.66667,and,M,DEU,18
86841326,43156.66667,and,F,DEU,72
26743843,42313.66667,iOS,F,USA,20
54244351,43077.66667,iOS,F,BRA,17
28191749,43127.66667,and,M,DEU,28
25586861,42813.70833,iOS,F,BRA,15
93838937,43028.70833,iOS,M,USA,17
41603681,43106.66667,iOS,M,USA,21
90167124,42808.70833,iOS,F,BRA,34
92270423,43124.66667,and,M,USA,42
38488899,43055.66667,and,F,USA,19
82291374,43168.66667,iOS,M,DEU,27
51505100,43078.66667,iOS,F,USA,16
24027127,43151.66667,and,M,USA,34
27707337,43047.66667,and,F,DEU,28
85023520,42709.66667,and,F,USA,22
73538625,43156.66667,iOS,F,CAN,17
56637414,42539.70833,and,M,USA,15
29550215,42952.70833,and,M,DEU,20
34206549,42992.70833,and,F,FRA,15
19760811,42789.66667,and,F,DEU,37
44958087,43139.66667,iOS,M,FRA,22
58810597,43126.66667,and,M,CAN,18
68897421,42746.66667,and,M,BRA,38
15267680,43172.70833,iOS,F,BRA,23
60257149,43056.66667,and,M,DEU,20
49161658,42827.70833,and,F,BRA,34
73306006,43052.66667,iOS,M,BRA,25
37353609,42890.70833,and,M,USA,33
29559757,43161.66667,and,F,BRA,18
26598444,42560.70833,iOS,F,USA,16
43398703,42942.70833,and,F,BRA,16
27449174,42965.70833,and,M,BRA,22
34495675,42330.66667,iOS,F,TUR,41
11160187,43158.66667,and,M,FRA,26
90548236,42585.70833,iOS,M,USA,28
12512467,42665.70833,iOS,M,BRA,34
16484174,42604.70833,and,F,USA,19
94667497,43006.70833,and,F,TUR,19
89176337,42658.70833,iOS,M,BRA,27
64274271,42807.70833,iOS,F,USA,25
51018176,42493.70833,iOS,F,FRA,25
96504427,42986.70833,iOS,F,TUR,15
94755634,42664.70833,iOS,F,USA,21
66776308,42999.70833,and,M,FRA,26
71827348,43136.66667,iOS,F,USA,37
51734557,42789.66667,and,M,CAN,26
47183962,42663.70833,iOS,F,DEU,17
61543813,43153.66667,and,F,USA,24
32970613,42877.70833,iOS,F,USA,29
46539892,42979.70833,and,F,TUR,48
89284225,43158.66667,iOS,M,USA,17
19755648,42550.70833,iOS,F,TUR,26
90576135,42565.70833,and,M,DEU,21
47651548,42670.70833,and,F,BRA,18
66028246,42728.66667,and,M,FRA,24
77997469,43002.70833,and,F,USA,24
63362348,43022.70833,iOS,F,FRA,21
67301960,43108.66667,and,F,TUR,28
16664759,43166.66667,and,F,BRA,40
63235804,42934.70833,and,M,USA,18
52628676,42861.70833,iOS,M,USA,19
35720107,42880.70833,iOS,F,TUR,29
93416654,42532.70833,iOS,M,USA,26
98504259,42960.70833,and,M,TUR,29
89811263,43051.66667,iOS,F,FRA,17
39791830,43064.66667,iOS,F,USA,20
37288850,42823.70833,iOS,M,BRA,16
81659476,42800.66667,and,F,BRA,15
17821618,42248.70833,and,F,USA,17
45599623,42815.70833,and,M,USA,24
12081749,42621.70833,and,M,TUR,25
87523224,43006.70833,and,M,USA,20
98356578,42910.70833,iOS,M,FRA,20
90117105,42599.70833,iOS,F,BRA,16
56037180,43147.66667,and,M,USA,16
98362223,42743.66667,and,F,BRA,38
81220650,43061.66667,iOS,M,USA,19
80221359,42853.70833,and,M,BRA,17
40951509,43153.66667,and,M,USA,27
35512653,43117.66667,and,M,USA,20
33941435,43142.66667,and,F,USA,28
62364893,43129.66667,and,F,USA,36
57265775,42936.70833,iOS,F,BRA,22
63450126,42823.70833,and,M,USA,19
15586642,43004.70833,and,F,USA,52
32532282,42723.66667,iOS,F,BRA,18
39454480,42903.70833,iOS,M,TUR,31
48694786,42497.70833,and,M,USA,26
33085843,42953.70833,and,F,USA,16
52172947,42935.70833,iOS,M,BRA,16
58870601,42452.70833,and,F,FRA,46
95322946,43025.70833,and,F,BRA,32
66431806,43164.66667,iOS,M,USA,16
93398844,43163.66667,and,F,USA,17
80819777,42917.70833,and,M,BRA,33
41662516,42928.70833,and,F,DEU,16
65707304,42661.70833,and,M,USA,33
73311608,43130.66667,iOS,M,USA,55
71086516,43125.66667,and,F,USA,34
63890124,42758.66667,and,F,DEU,15
43252575,42555.70833,iOS,M,BRA,16
90967369,42897.70833,and,M,USA,20
18350032,42694.66667,iOS,M,BRA,22
69094925,42930.70833,iOS,M,CAN,24
33102286,43169.66667,and,F,USA,23
96570084,43001.70833,iOS,M,USA,42
31544080,43156.66667,and,F,DEU,41
18945387,43001.70833,and,F,USA,19
13570598,43163.66667,and,F,CAN,16
81309104,42138.70833,iOS,F,USA,26
55863976,43101.66667,iOS,F,BRA,16
98142314,42290.70833,and,F,FRA,16
92560152,43101.66667,and,F,USA,15
32995814,43109.66667,and,M,USA,15
91095835,42612.70833,and,F,USA,39
67671531,43165.66667,and,F,BRA,44
12428916,43144.66667,and,M,DEU,17
64647182,42807.70833,and,F,TUR,18
21907151,43091.66667,iOS,F,BRA,17
93753504,42651.70833,and,F,BRA,15
37709356,42089.70833,iOS,F,USA,27
66103310,42153.70833,iOS,F,BRA,25
53254137,42359.66667,and,F,FRA,25
25231723,42860.70833,and,M,TUR,31
